file,formula,polymorph,material_id,spacegroup,spacegroup_number,nsites,vpa,density
TiO2_rutile.cif,TiO2,rutile,mp-2657,P4_2/mnm,136,6,10.4354,4.2362
TiO2_anatase.cif,TiO2,anatase,mp-390,I4_1/amd,141,12,11.464,3.8561
TiO2_brookite.cif,TiO2,brookite,mp-1840,Pbca,61,24,10.7686,4.1052
SiO2_alpha-quartz.cif,SiO2,alpha-quartz,mp-7000,P3_121,152,9,12.625,2.6342
SiO2_quartz-enantiomorph.cif,SiO2,quartz-enantiomorph,mp-6930,P3_221,154,9,12.634,2.6324
SiO2_coesite.cif,SiO2,coesite,mp-12787,C2/c,15,36,12.6035,2.6388
SiO2_alpha-cristobalite.cif,SiO2,alpha-cristobalite,mp-6945,P4_12_12,92,12,14.4032,2.309
SiO2_beta-cristobalite.cif,SiO2,beta-cristobalite,mp-546794,I-42d,122,12,14.9565,2.2236
SiO2_stishovite.cif,SiO2,stishovite,mp-6947,P4_2/mnm,136,6,8.0444,4.1342
C_diamond.cif,C,diamond,mp-66,Fd-3m,227,8,5.6433,3.5341
C_graphite-hex.cif,C,graphite-hex,mp-48,P6_3/mmc,194,4,10.2844,1.9393
C_expanded-layered.cif,C,expanded-layered,mp-990424,P-3m1,164,4,31.5236,0.6327
C_graphite-rhomb.cif,C,graphite-rhomb,mp-169,C2/m,12,4,9.1527,2.1791
ZnS_zincblende.cif,ZnS,zincblende,mp-10695,F-43m,216,8,19.5452,4.1406
ZnS_wurtzite.cif,ZnS,wurtzite,mp-561286,P6_3mc,186,40,19.5548,4.1386
ZnS_polytype-R3m.cif,ZnS,polytype-R3m,mp-555280,R3m,160,36,19.5489,4.1399
ZnS_polytype-P3m1.cif,ZnS,polytype-P3m1,mp-554820,P3m1,156,56,19.5429,4.1411
iso_Ge.cif,Ge,zincblende/diamond,mp-32,Fd-3m,227,8,22.8441,5.2802
iso_GaAs.cif,GaAs,zincblende/diamond,mp-2534,F-43m,216,8,23.7659,5.0532
iso_ZnSe.cif,ZnSe,zincblende/diamond,mp-1190,F-43m,216,8,22.7239,5.2748
iso_CuBr.cif,CuBr,zincblende/diamond,mp-22913,I-4m2,119,4,22.6256,5.2641
